Movie Name,Genre,Ratings,Voting Counts,duration_minutes
4. Heretic,Horror,7.0,162000,111
5. The Substance,Horror,7.2,319000,141
13. Nosferatu,Horror,7.2,211000,132
17. Presence,Horror,6.1,29000,84
23. Speak No Evil,Horror,6.8,110000,110
33. Alien: Romulus,Horror,7.1,254000,119
36. Longlegs,Horror,6.6,194000,101
37. Beetlejuice Beetlejuice,Horror,6.6,155000,105
44. The Shrouds,Horror,5.8,3700,120
49. Trap,Horror,5.8,145000,105
50. Smile 2,Horror,6.7,114000,127
