Movie Name,Genre,Ratings,Voting Counts,duration_minutes
1. The Life of Chuck,Sci-Fi,7.7,6900,111
5. The Substance,Sci-Fi,7.2,319000,141
12. The Wild Robot,Sci-Fi,8.2,183000,102
15. Dune: Part Two,Sci-Fi,8.5,643000,166
22. Deadpool & Wolverine,Sci-Fi,7.5,508000,128
27. Venom: The Last Dance,Sci-Fi,6.0,130000,110
29. The Assessment,Sci-Fi,6.6,12000,114
33. Alien: Romulus,Sci-Fi,7.1,254000,119
38. Furiosa: A Mad Max Saga,Sci-Fi,7.5,292000,148
44. The Shrouds,Sci-Fi,5.8,3700,120
