Movie Name,Genre,Ratings,Voting Counts,duration_minutes
1. The Life of Chuck,Fantasy,7.7,6900,111
13. Nosferatu,Fantasy,7.2,211000,132
14. Wicked,Fantasy,7.4,169000,160
30. Sonic the Hedgehog 3,Fantasy,6.9,65000,110
31. Flow,Fantasy,7.9,85000,85
32. Parthenope,Fantasy,6.6,14000,137
37. Beetlejuice Beetlejuice,Fantasy,6.6,155000,105
40. Moana 2,Fantasy,6.5,109000,100
