Movie Name,Genre,Ratings,Voting Counts,duration_minutes
2. Friendship,Comedy,7.0,12000,100
3. Anora,Comedy,7.5,205000,139
21. The Ministry of Ungentlemanly Warfare,Comedy,6.8,139000,122
22. Deadpool & Wolverine,Comedy,7.5,508000,128
30. Sonic the Hedgehog 3,Comedy,6.9,65000,110
35. A Real Pain,Comedy,7.1,105000,90
37. Beetlejuice Beetlejuice,Comedy,6.6,155000,105
39. Fight or Flight,Comedy,6.4,14000,102
40. Moana 2,Comedy,6.5,109000,100
45. The Fall Guy,Comedy,6.8,227000,126
